TrialNum,Operation,CPU Time (ms)
1,math,46765
2,math,46757
3,math,46757
4,math,46757
5,math,46757
6,math,46765
7,math,46765
8,math,46750
9,math,46742
10,math,46750
11,math,46757
12,math,46757
13,math,46742
14,math,46765
15,math,46750
16,math,46773
17,math,46742
18,math,46750
19,math,46765
20,math,46757
21,math,46734
22,math,46757
23,math,46757
24,math,46757
25,math,46757
26,math,46757
27,math,46742
28,math,46750
29,math,46765
30,math,46757
31,math,46750
32,math,46765
33,math,46742
34,math,46750
35,math,46750
36,math,46742
37,math,46757
38,math,46742
39,math,46750
40,math,46765
41,math,46750
42,math,46765
43,math,46750
44,math,46757
45,math,46773
46,math,46757
47,math,46750
48,math,46750
49,math,46750
50,math,46757
51,math,46765
52,math,46750
53,math,46750
54,math,46742
55,math,46765
56,math,46742
57,math,46742
58,math,46757
59,math,46773
60,math,46757
1,int,929
2,int,921
3,int,921
4,int,921
5,int,921
6,int,921
7,int,929
8,int,921
9,int,921
10,int,921
11,int,929
12,int,921
13,int,921
14,int,921
15,int,929
16,int,921
17,int,921
18,int,921
19,int,921
20,int,921
21,int,921
22,int,921
23,int,921
24,int,921
25,int,921
26,int,921
27,int,929
28,int,921
29,int,921
30,int,921
31,int,921
32,int,921
33,int,921
34,int,921
35,int,921
36,int,921
37,int,921
38,int,921
39,int,929
40,int,921
41,int,921
42,int,921
43,int,921
44,int,921
45,int,921
46,int,921
47,int,921
48,int,921
49,int,929
50,int,921
51,int,921
52,int,921
53,int,921
54,int,921
55,int,921
56,int,921
57,int,921
58,int,921
59,int,921
60,int,929
1,float,828
2,float,828
3,float,828
4,float,835
5,float,828
6,float,828
7,float,835
8,float,828
9,float,828
10,float,828
11,float,835
12,float,828
13,float,828
14,float,835
15,float,828
16,float,828
17,float,828
18,float,835
19,float,828
20,float,828
21,float,835
22,float,828
23,float,828
24,float,828
25,float,835
26,float,828
27,float,828
28,float,835
29,float,828
30,float,828
31,float,835
32,float,828
33,float,828
34,float,828
35,float,835
36,float,828
37,float,828
38,float,835
39,float,828
40,float,828
41,float,828
42,float,835
43,float,828
44,float,828
45,float,835
46,float,828
47,float,828
48,float,828
49,float,835
50,float,828
51,float,828
52,float,828
53,float,835
54,float,828
55,float,828
56,float,835
57,float,828
58,float,828
59,float,828
60,float,835
1,array,1656
2,array,1406
3,array,1406
4,array,1398
5,array,1414
6,array,1406
7,array,1406
8,array,1406
9,array,1406
10,array,1406
11,array,1406
12,array,1406
13,array,1406
14,array,1406
15,array,1406
16,array,1406
17,array,1398
18,array,1398
19,array,1406
20,array,1398
21,array,1406
22,array,1398
23,array,1398
24,array,1406
25,array,1398
26,array,1406
27,array,1398
28,array,1406
29,array,1398
30,array,1406
31,array,1406
32,array,1414
33,array,1406
34,array,1414
35,array,1406
36,array,1406
37,array,1406
38,array,1406
39,array,1406
40,array,1398
41,array,1406
42,array,1398
43,array,1406
44,array,1398
45,array,1398
46,array,1406
47,array,1406
48,array,1406
49,array,1406
50,array,1406
51,array,1406
52,array,1406
53,array,1406
54,array,1406
55,array,1406
56,array,1406
57,array,1406
58,array,1406
59,array,1398
60,array,1398
