Block Size (MB),Test Number,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
100,1,0.047,282.576,282.569,0.005
100,2,0.001,282.615,282.576,0.014
100,3,0.005,282.577,282.592,0.007
100,4,0.002,282.570,282.563,0.002
100,5,0.000,282.573,282.595,0.012
100,6,0.004,282.566,282.573,0.002
100,7,0.001,282.584,282.584,0.011
100,8,0.004,282.573,282.563,0.002
100,9,0.000,282.592,282.571,0.012
100,10,0.003,282.569,282.605,0.013
100,11,0.004,282.574,282.569,0.002
100,12,0.000,282.583,282.591,0.014
100,13,0.005,282.570,282.569,0.002
100,14,0.001,282.578,282.581,0.002
100,15,0.000,282.567,282.576,0.010
100,16,0.003,282.597,282.575,0.012
100,17,0.004,282.570,282.593,0.006
100,18,0.002,282.607,282.568,0.010
100,19,0.003,282.571,282.592,0.007
100,20,0.002,282.582,282.576,0.002
100,21,0.001,282.584,282.606,0.010
100,22,0.004,282.576,282.580,0.002
100,23,0.001,282.600,282.577,0.010
100,24,0.003,282.567,282.574,0.002
100,25,0.001,282.586,282.567,0.006
100,26,0.002,282.566,282.587,0.010
100,27,0.003,282.582,282.569,0.002
100,28,0.000,282.584,282.603,0.012
100,29,0.003,282.598,282.607,0.002
100,30,0.000,282.617,282.586,0.003
100,31,0.001,282.585,282.587,0.002
100,32,0.000,282.595,282.576,0.011
100,33,0.003,282.568,282.571,0.002
100,34,0.001,282.576,282.573,0.009
100,35,0.003,282.570,282.592,0.007
100,36,0.002,282.588,282.593,0.002
100,37,0.000,282.579,282.596,0.010
100,38,0.003,282.571,282.566,0.002
100,39,0.000,282.635,282.572,0.011
100,40,0.004,282.562,282.582,0.010
100,41,0.003,282.612,282.584,0.007
100,42,0.003,282.581,282.625,0.011
100,43,0.004,282.573,282.579,0.010
100,44,0.003,282.579,282.651,0.010
100,45,0.004,282.571,282.569,0.002
100,46,0.001,282.618,282.568,0.005
100,47,0.002,282.568,282.568,0.002
100,48,0.000,282.603,282.569,0.013
100,49,0.004,282.563,282.613,0.007
100,50,0.003,282.570,282.582,0.010
100,51,0.003,282.575,282.594,0.004
100,52,0.001,282.560,282.584,0.007
100,53,0.002,282.572,282.592,0.002
100,54,0.001,282.571,282.563,0.002
100,55,0.000,282.598,282.564,0.014
100,56,0.005,282.565,282.564,0.002
100,57,0.001,282.592,282.568,0.006
100,58,0.002,282.587,282.601,0.012
100,59,0.003,282.572,282.565,0.002
100,60,0.000,282.593,282.588,0.012
200,1,0.035,565.140,565.183,0.015
200,2,0.018,565.156,565.183,0.009
200,3,0.003,565.194,565.139,0.010
200,4,0.003,565.203,565.138,0.007
200,5,0.002,565.164,565.142,0.010
200,6,0.003,565.167,565.165,0.010
200,7,0.003,565.163,565.166,0.008
200,8,0.002,565.139,565.147,0.002
200,9,0.001,565.134,565.162,0.010
200,10,0.004,565.156,565.158,0.011
200,11,0.004,565.182,565.167,0.013
200,12,0.004,565.197,565.138,0.015
200,13,0.005,565.184,565.154,0.015
200,14,0.005,565.248,565.133,0.015
200,15,0.005,565.129,565.171,0.007
200,16,0.002,565.155,565.175,0.007
200,17,0.002,565.119,565.155,0.006
200,18,0.002,565.123,565.178,0.012
200,19,0.003,565.183,565.125,0.011
200,20,0.003,565.159,565.123,0.004
200,21,0.001,565.174,565.136,0.012
200,22,0.004,565.165,565.152,0.009
200,23,0.003,565.158,565.192,0.013
200,24,0.004,565.139,565.169,0.003
200,25,0.001,565.136,565.158,0.014
200,26,0.005,565.153,565.139,0.002
200,27,0.001,565.166,565.126,0.010
200,28,0.003,565.158,565.129,0.008
200,29,0.003,565.184,565.158,0.013
200,30,0.004,565.175,565.179,0.007
200,31,0.002,565.133,565.150,0.003
200,32,0.001,565.120,565.127,0.002
200,33,0.001,565.121,565.137,0.002
200,34,0.001,565.133,565.163,0.007
200,35,0.002,565.189,565.156,0.008
200,36,0.002,565.154,565.124,0.008
200,37,0.002,565.122,565.125,0.002
200,38,0.001,565.172,565.181,0.016
200,39,0.004,565.137,565.160,0.011
200,40,0.003,565.158,565.171,0.003
200,41,0.002,565.186,565.162,0.011
200,42,0.003,565.174,565.123,0.011
200,43,0.004,565.155,565.147,0.012
200,44,0.003,565.161,565.142,0.012
200,45,0.004,565.156,565.163,0.014
200,46,0.004,565.140,565.159,0.015
200,47,0.005,565.172,565.145,0.015
200,48,0.005,565.151,565.161,0.015
200,49,0.004,565.164,565.162,0.011
200,50,0.004,565.159,565.138,0.013
200,51,0.004,565.166,565.148,0.009
200,52,0.003,565.177,565.173,0.010
200,53,0.003,565.167,565.151,0.011
200,54,0.004,565.141,565.131,0.003
200,55,0.001,565.145,565.150,0.004
200,56,0.001,565.163,565.178,0.012
200,57,0.004,565.174,565.141,0.013
200,58,0.005,565.175,565.153,0.009
200,59,0.003,565.169,565.145,0.011
200,60,0.003,565.180,565.164,0.012
300,1,0.018,847.689,847.730,0.010
300,2,0.003,847.767,847.739,0.015
300,3,0.004,847.756,847.809,0.015
300,4,0.005,847.700,847.714,0.003
300,5,0.001,847.776,847.769,0.014
300,6,0.004,847.760,847.760,0.015
300,7,0.004,847.807,847.771,0.010
300,8,0.003,847.764,847.770,0.012
300,9,0.003,847.780,847.777,0.013
300,10,0.004,847.763,847.744,0.011
300,11,0.003,847.755,847.729,0.014
300,12,0.004,847.778,847.766,0.015
300,13,0.005,847.742,847.715,0.015
300,14,0.004,847.726,847.755,0.008
300,15,0.003,847.740,847.766,0.015
300,16,0.005,847.760,847.752,0.014
300,17,0.004,847.735,847.715,0.008
300,18,0.002,847.726,847.725,0.015
300,19,0.005,847.739,847.737,0.008
300,20,0.003,847.773,847.704,0.008
300,21,0.002,847.783,847.733,0.014
300,22,0.004,847.726,847.706,0.016
300,23,0.005,847.728,847.728,0.015
300,24,0.004,847.726,847.737,0.015
300,25,0.004,847.705,847.791,0.015
300,26,0.005,847.763,847.734,0.008
300,27,0.004,847.749,847.729,0.015
300,28,0.005,847.712,847.709,0.014
300,29,0.004,847.788,847.765,0.015
300,30,0.005,847.694,847.717,0.007
300,31,0.002,847.779,848.437,0.015
300,32,0.004,847.754,847.738,0.017
300,33,0.005,847.778,847.736,0.009
300,34,0.003,847.692,847.735,0.015
300,35,0.005,847.730,847.745,0.014
300,36,0.004,847.783,847.719,0.015
300,37,0.004,847.753,847.750,0.014
300,38,0.004,847.766,847.741,0.013
300,39,0.004,847.726,847.715,0.013
300,40,0.004,847.685,847.687,0.003
300,41,0.001,847.683,847.733,0.008
300,42,0.002,847.742,847.717,0.015
300,43,0.004,847.767,847.727,0.013
300,44,0.005,847.704,847.754,0.015
300,45,0.004,847.787,847.748,0.015
300,46,0.005,847.713,847.763,0.014
300,47,0.004,847.700,847.737,0.013
300,48,0.004,847.876,847.753,0.014
300,49,0.004,847.749,847.759,0.015
300,50,0.005,847.722,847.725,0.014
300,51,0.004,847.754,847.715,0.015
300,52,0.005,847.726,847.754,0.015
300,53,0.004,847.770,847.695,0.011
300,54,0.003,847.780,847.735,0.015
300,55,0.005,847.746,847.741,0.012
300,56,0.004,847.751,847.709,0.013
300,57,0.004,847.719,847.751,0.014
300,58,0.005,847.733,847.735,0.015
300,59,0.005,847.709,847.740,0.016
300,60,0.005,847.737,847.694,0.017
400,1,0.043,1130.274,1130.291,0.017
400,2,0.018,1130.309,1130.269,0.016
400,3,0.004,1130.306,1130.313,0.016
400,4,0.005,1130.332,1130.309,0.016
400,5,0.005,1130.315,1130.322,0.005
400,6,0.002,1130.326,1130.281,0.015
400,7,0.004,1130.315,1130.293,0.015
400,8,0.004,1130.321,1130.407,0.012
400,9,0.003,1130.467,1130.320,0.017
400,10,0.004,1130.286,1130.596,0.012
400,11,0.003,1130.676,1130.343,0.016
400,12,0.004,1130.304,1130.303,0.006
400,13,0.001,1130.398,1130.493,0.017
400,14,0.005,1130.409,1130.311,0.009
400,15,0.002,1130.341,1130.324,0.015
400,16,0.004,1130.287,1130.292,0.015
400,17,0.004,1130.417,1130.447,0.016
400,18,0.005,1130.600,1130.331,0.016
400,19,0.005,1130.324,1130.351,0.016
400,20,0.005,1130.337,1130.355,0.016
400,21,0.005,1130.367,1130.319,0.016
400,22,0.004,1130.333,1130.337,0.016
400,23,0.005,1130.316,1130.329,0.009
400,24,0.002,1130.308,1130.353,0.016
400,25,0.005,1130.344,1130.291,0.016
400,26,0.005,1130.314,1130.329,0.017
400,27,0.005,1130.318,1130.321,0.014
400,28,0.004,1130.339,1130.350,0.015
400,29,0.004,1130.317,1130.283,0.016
400,30,0.004,1130.339,1130.291,0.015
400,31,0.005,1130.264,1130.258,0.016
400,32,0.004,1130.361,1130.337,0.017
400,33,0.004,1130.296,1130.281,0.013
400,34,0.003,1130.318,1130.340,0.015
400,35,0.004,1130.373,1130.313,0.016
400,36,0.005,1130.319,1130.290,0.015
400,37,0.004,1130.294,1130.343,0.013
400,38,0.004,1130.345,1130.318,0.016
400,39,0.005,1130.309,1130.332,0.011
400,40,0.003,1130.290,1130.300,0.017
400,41,0.004,1130.320,1130.336,0.015
400,42,0.005,1130.358,1130.349,0.016
400,43,0.004,1130.286,1130.314,0.010
400,44,0.003,1130.324,1130.295,0.005
400,45,0.001,1130.315,1130.297,0.016
400,46,0.005,1130.291,1130.288,0.015
400,47,0.004,1130.300,1130.356,0.016
400,48,0.005,1130.343,1130.329,0.016
400,49,0.005,1130.305,1130.276,0.015
400,50,0.004,1130.285,1130.335,0.017
400,51,0.004,1130.338,1130.354,0.013
400,52,0.004,1130.286,1130.317,0.016
400,53,0.004,1130.317,1130.308,0.012
400,54,0.003,1130.313,1130.332,0.016
400,55,0.005,1130.339,1130.351,0.016
400,56,0.005,1130.301,1130.312,0.016
400,57,0.005,1130.311,1130.316,0.017
400,58,0.005,1130.334,1130.296,0.014
400,59,0.004,1130.370,1130.349,0.016
400,60,0.004,1130.315,1130.300,0.015
500,1,0.005,1412.882,1412.949,0.017
500,2,0.005,1412.950,1412.918,0.015
500,3,0.004,1412.877,1412.874,0.017
500,4,0.004,1412.964,1412.894,0.017
500,5,0.004,1412.921,1412.952,0.017
500,6,0.005,1412.909,1412.881,0.016
500,7,0.005,1412.851,1412.929,0.016
500,8,0.005,1412.895,1412.909,0.016
500,9,0.004,1412.925,1412.832,0.015
500,10,0.004,1412.887,1412.893,0.016
500,11,0.005,1412.882,1412.826,0.017
500,12,0.005,1412.880,1412.930,0.016
500,13,0.004,1412.913,1412.875,0.016
500,14,0.004,1412.943,1412.870,0.016
500,15,0.004,1412.916,1412.892,0.017
500,16,0.005,1412.891,1412.899,0.017
500,17,0.005,1412.921,1412.907,0.016
500,18,0.005,1412.909,1412.889,0.017
500,19,0.005,1412.877,1412.903,0.017
500,20,0.005,1412.882,1412.859,0.016
500,21,0.005,1412.956,1412.876,0.017
500,22,0.004,1412.992,1412.898,0.016
500,23,0.005,1412.876,1412.937,0.017
500,24,0.005,1412.882,1412.907,0.017
500,25,0.005,1412.883,1412.868,0.017
500,26,0.005,1412.923,1412.870,0.017
500,27,0.004,1412.909,1412.874,0.014
500,28,0.004,1413.015,1412.927,0.017
500,29,0.004,1412.835,1412.832,0.008
500,30,0.002,1412.880,1412.925,0.016
500,31,0.005,1412.903,1412.902,0.017
500,32,0.005,1412.881,1412.872,0.016
500,33,0.004,1412.956,1412.867,0.017
500,34,0.005,1412.890,1412.908,0.015
500,35,0.005,1412.935,1412.903,0.017
500,36,0.005,1412.858,1412.896,0.018
500,37,0.005,1412.872,1412.840,0.017
500,38,0.005,1412.931,1412.877,0.017
500,39,0.004,1412.892,1412.890,0.016
500,40,0.004,1412.891,1412.940,0.015
500,41,0.004,1412.894,1412.911,0.016
500,42,0.004,1412.844,1412.970,0.017
500,43,0.005,1412.895,1412.904,0.016
500,44,0.005,1412.909,1412.890,0.017
500,45,0.004,1412.893,1412.884,0.016
500,46,0.004,1412.919,1412.930,0.016
500,47,0.004,1412.882,1412.949,0.016
500,48,0.005,1412.917,1412.922,0.017
500,49,0.004,1412.848,1412.822,0.011
500,50,0.004,1412.893,1412.906,0.016
500,51,0.005,1412.931,1412.874,0.017
