Test,Message Size (Bytes),Write Time (ms),Read Time (ms),Total Time (ms)
1,1024,0.014,0.191,0.205
2,1024,0.003,0.074,0.077
3,1024,0.003,0.083,0.086
4,1024,0.005,0.089,0.095
5,1024,0.003,0.087,0.090
6,1024,0.003,0.084,0.088
7,1024,0.003,0.085,0.088
8,1024,0.003,0.085,0.088
9,1024,0.003,0.088,0.091
10,1024,0.003,0.085,0.088
11,1024,0.003,0.092,0.095
12,1024,0.003,0.084,0.087
13,1024,0.003,0.088,0.091
14,1024,0.003,0.085,0.088
15,1024,0.003,0.083,0.087
16,1024,0.003,0.085,0.088
17,1024,0.003,0.088,0.091
18,1024,0.003,0.085,0.088
19,1024,0.003,0.085,0.088
20,1024,0.003,0.085,0.088
21,1024,0.003,0.095,0.098
22,1024,0.003,0.085,0.088
23,1024,0.003,0.085,0.088
24,1024,0.003,0.085,0.088
25,1024,0.003,0.089,0.092
26,1024,0.003,0.085,0.088
27,1024,0.003,0.085,0.088
28,1024,0.003,0.085,0.088
29,1024,0.003,0.088,0.091
30,1024,0.003,0.085,0.088
31,1024,0.003,0.087,0.090
32,1024,0.003,0.085,0.088
33,1024,0.003,0.089,0.093
34,1024,0.003,0.084,0.087
35,1024,0.003,0.086,0.089
36,1024,0.003,0.084,0.087
37,1024,0.003,0.088,0.091
38,1024,0.003,0.085,0.088
39,1024,0.003,0.083,0.086
40,1024,0.003,0.084,0.088
41,1024,0.003,0.089,0.092
42,1024,0.003,0.084,0.087
43,1024,0.003,0.085,0.088
44,1024,0.003,0.084,0.087
45,1024,0.003,0.090,0.093
46,1024,0.003,0.084,0.087
47,1024,0.003,0.085,0.088
48,1024,0.003,0.084,0.087
49,1024,0.004,0.093,0.097
50,1024,0.003,0.083,0.086
51,1024,0.003,0.086,0.089
52,1024,0.003,0.085,0.088
53,1024,0.003,0.088,0.091
54,1024,0.003,0.085,0.088
55,1024,0.003,0.086,0.090
56,1024,0.003,0.084,0.087
57,1024,0.003,0.087,0.090
58,1024,0.003,0.084,0.087
59,1024,0.003,0.085,0.088
60,1024,0.003,0.084,0.087
61,1024,0.003,0.093,0.096
62,1024,0.003,0.085,0.088
63,1024,0.003,0.085,0.088
64,1024,0.003,0.084,0.087
65,1024,0.003,0.088,0.091
66,1024,0.003,0.084,0.087
67,1024,0.003,0.084,0.088
68,1024,0.003,0.085,0.088
69,1024,0.003,0.088,0.091
70,1024,0.003,0.084,0.087
71,1024,0.003,0.086,0.089
72,1024,0.003,0.085,0.088
73,1024,0.003,0.087,0.090
74,1024,0.003,0.085,0.088
75,1024,0.003,0.085,0.088
76,1024,0.003,0.086,0.089
77,1024,0.003,0.088,0.091
78,1024,0.003,0.084,0.087
79,1024,0.003,0.085,0.088
80,1024,0.003,0.085,0.088
81,1024,0.003,0.090,0.093
82,1024,0.003,0.085,0.088
83,1024,0.003,0.085,0.088
84,1024,0.003,0.085,0.088
85,1024,0.003,0.088,0.091
86,1024,0.003,0.086,0.089
87,1024,0.003,0.085,0.088
88,1024,0.003,0.080,0.083
89,1024,0.003,0.091,0.094
90,1024,0.003,0.085,0.088
91,1024,0.003,0.086,0.090
92,1024,0.003,0.085,0.088
93,1024,0.003,0.087,0.090
94,1024,0.003,0.085,0.088
95,1024,0.003,0.085,0.088
96,1024,0.003,0.086,0.089
97,1024,0.003,0.087,0.090
98,1024,0.003,0.085,0.088
99,1024,0.003,0.085,0.088
100,1024,0.003,0.084,0.088
